Date,Open,High,Low,Close,Volume,Spread
2021-07-12,1.38982,1.39097,1.38387,1.38858,118305,8
2021-07-13,1.38859,1.39051,1.37998,1.38052,111814,10
2021-07-14,1.38052,1.38917,1.38011,1.38558,108686,9
2021-07-15,1.38559,1.38988,1.38046,1.38277,100012,9
2021-07-16,1.38278,1.38617,1.37565,1.37565,81005,9
2021-07-19,1.37631,1.37636,1.36545,1.36684,126436,7
2021-07-20,1.36685,1.36892,1.35717,1.3634,104169,10
2021-07-21,1.36339,1.37227,1.35908,1.37115,77092,10
2021-07-22,1.37114,1.37869,1.36904,1.37722,83781,13
2021-07-23,1.37722,1.37796,1.37196,1.37449,67907,11
2021-07-26,1.37567,1.38333,1.37366,1.38257,70122,8
2021-07-27,1.38256,1.38941,1.37664,1.38817,88411,10
2021-07-28,1.38816,1.39109,1.3843,1.39055,72248,10
2021-07-29,1.39055,1.39816,1.38977,1.39632,53568,9
2021-07-30,1.39632,1.39832,1.38877,1.38959,59214,11
2021-08-02,1.38952,1.39323,1.38753,1.38906,57165,9
2021-08-03,1.38905,1.39385,1.38823,1.39167,57688,9
2021-08-04,1.39166,1.39574,1.38849,1.38893,58940,10
2021-08-05,1.38892,1.39488,1.38719,1.3927,66135,9
2021-08-06,1.3927,1.39327,1.38608,1.38693,49617,8
2021-08-09,1.38662,1.38942,1.38406,1.38465,48630,12
2021-08-10,1.38465,1.38721,1.38272,1.3835,44186,9
2021-08-11,1.3835,1.38875,1.38023,1.38661,51368,10
2021-08-12,1.38659,1.38782,1.37945,1.38106,42044,7
2021-08-13,1.38106,1.38749,1.37904,1.38576,33649,8
2021-08-16,1.38631,1.38783,1.38277,1.38403,46798,11
2021-08-17,1.38404,1.38406,1.37231,1.37396,49154,9
2021-08-18,1.37395,1.37859,1.37309,1.37424,43621,9
2021-08-19,1.37431,1.37496,1.36275,1.36297,59177,8
2021-08-20,1.36298,1.3641,1.36019,1.36144,43505,8
2021-08-23,1.36241,1.37319,1.3624,1.37228,45298,10
2021-08-24,1.37225,1.37474,1.36936,1.37243,44983,12
2021-08-25,1.37244,1.37664,1.36962,1.37639,42682,10
2021-08-26,1.37638,1.37675,1.36891,1.36998,51025,10
2021-08-27,1.36997,1.37807,1.36796,1.37544,64042,11
2021-08-30,1.3762,1.37749,1.37337,1.37584,33499,14
2021-08-31,1.37583,1.38077,1.37426,1.37518,64090,9
2021-09-01,1.3752,1.3798,1.37309,1.37708,53700,8
2021-09-02,1.37708,1.38398,1.37668,1.38359,41195,9
2021-09-03,1.38359,1.38915,1.38177,1.386,59733,10
2021-09-06,1.38575,1.38592,1.38181,1.38382,54970,10
2021-09-07,1.38381,1.38564,1.37674,1.37786,63416,10
2021-09-08,1.37785,1.37903,1.37261,1.37665,59099,9
2021-09-09,1.37664,1.38625,1.3753,1.3838,65562,9
2021-09-10,1.38384,1.38883,1.38258,1.38299,57040,9
2021-09-13,1.38391,1.38508,1.37968,1.3837,50497,9
2021-09-14,1.38368,1.3913,1.38033,1.38076,60959,10
2021-09-15,1.38073,1.38536,1.37922,1.38478,51014,10
2021-09-16,1.38476,1.38493,1.37642,1.37974,50131,9
2021-09-17,1.37973,1.38125,1.37256,1.37283,51745,9
2021-09-20,1.3728,1.37297,1.36405,1.36617,65811,11
2021-09-21,1.36616,1.36927,1.3641,1.36569,59041,10
2021-09-22,1.3657,1.36893,1.3609,1.36157,77014,10
2021-09-23,1.36157,1.37505,1.36119,1.37203,68128,9
2021-09-24,1.37204,1.37364,1.36576,1.3673,48825,9
2021-09-27,1.36682,1.37287,1.36577,1.37002,60644,11
2021-09-28,1.37003,1.3717,1.35203,1.35411,88803,11
2021-09-29,1.35409,1.35544,1.34116,1.34267,74234,11
2021-09-30,1.34268,1.3517,1.34153,1.34683,78029,10
2021-10-01,1.34683,1.35753,1.34333,1.35423,82970,9
2021-10-04,1.35698,1.36401,1.35314,1.36063,74378,8
2021-10-05,1.36067,1.36477,1.35841,1.36256,65950,10
2021-10-06,1.36255,1.36309,1.35436,1.35918,81587,10
2021-10-07,1.35917,1.36383,1.35702,1.36189,60296,10
2021-10-08,1.36192,1.36577,1.35832,1.36087,64779,9
2021-10-11,1.36156,1.36735,1.35841,1.35907,53446,10
2021-10-12,1.35907,1.36371,1.35681,1.35763,60498,11
2021-10-13,1.35766,1.36686,1.35756,1.3668,68631,10
2021-10-14,1.36678,1.37341,1.36579,1.36679,46826,11
2021-10-15,1.36678,1.37731,1.36675,1.37439,55936,10
2021-10-18,1.37604,1.37632,1.37088,1.37352,48224,9
2021-10-19,1.37355,1.38334,1.37353,1.3792,49418,9
2021-10-20,1.37922,1.38343,1.3742,1.38216,51267,10
2021-10-21,1.38214,1.38328,1.37759,1.37911,57431,9
2021-10-22,1.37912,1.38149,1.37354,1.37514,77878,8
2021-10-25,1.37617,1.37918,1.37413,1.3763,62884,10
2021-10-26,1.37632,1.38293,1.37565,1.37651,68391,10
2021-10-27,1.37652,1.37808,1.37092,1.37314,76686,8
2021-10-28,1.37316,1.38149,1.37219,1.37983,83397,9
2021-10-29,1.37982,1.38035,1.36678,1.36762,79867,10
2021-11-01,1.36821,1.3693,1.36416,1.3654,69082,10
2021-11-02,1.3654,1.36676,1.36053,1.36156,64146,11
2021-11-03,1.36158,1.36984,1.36072,1.36937,71923,10
2021-11-04,1.36935,1.36941,1.34707,1.35074,85082,8
2021-11-05,1.35076,1.35086,1.3424,1.34928,71214,11
2021-11-08,1.349,1.35795,1.34498,1.35632,61531,10
2021-11-09,1.35632,1.36071,1.35238,1.35594,63843,11
2021-11-10,1.35593,1.35645,1.34004,1.34118,90411,11
2021-11-11,1.34114,1.34327,1.33581,1.33646,71933,10
2021-11-12,1.33645,1.3426,1.33528,1.3414,58427,11
2021-11-15,1.3416,1.34493,1.34027,1.34098,63084,9
2021-11-16,1.34097,1.34725,1.34097,1.34246,72538,11
2021-11-17,1.34246,1.3496,1.3396,1.34881,77132,12
2021-11-18,1.34882,1.35133,1.34636,1.34984,68019,11
2021-11-19,1.34984,1.35094,1.34072,1.34486,89855,11
2021-11-22,1.34324,1.34494,1.3384,1.3397,88000,12
2021-11-23,1.33971,1.34091,1.33419,1.33745,82692,11
2021-11-24,1.33746,1.33896,1.33156,1.33292,84845,11
2021-11-25,1.33295,1.33533,1.33048,1.33124,77057,12
2021-11-26,1.33121,1.3365,1.3278,1.33283,190859,9
2021-11-29,1.33402,1.33628,1.32872,1.33138,86109,9
2021-11-30,1.33138,1.33702,1.31943,1.32952,157699,12
2021-12-01,1.32954,1.33516,1.32613,1.32771,103751,7
2021-12-02,1.32772,1.33335,1.32711,1.32993,95727,9
2021-12-03,1.32994,1.33098,1.32084,1.32264,106964,8
2021-12-06,1.32347,1.32861,1.3222,1.32619,74227,10
2021-12-07,1.3262,1.32892,1.32088,1.32449,70211,11
2021-12-08,1.32449,1.3261,1.31612,1.32085,99275,13
2021-12-09,1.32086,1.32243,1.31704,1.32237,64261,12
2021-12-10,1.32236,1.32751,1.31872,1.32683,68279,11
2021-12-13,1.32567,1.32685,1.32069,1.32126,63653,9
2021-12-14,1.32127,1.32563,1.31907,1.32291,57764,9
2021-12-15,1.32293,1.32824,1.31715,1.32616,81754,12
2021-12-16,1.32615,1.33741,1.32411,1.3322,89036,14
2021-12-17,1.33225,1.33391,1.32303,1.3234,73530,12
2021-12-20,1.32285,1.32441,1.3173,1.32088,67436,8
2021-12-21,1.32087,1.32706,1.31974,1.32678,55738,12
2021-12-22,1.32678,1.33631,1.32398,1.33501,52676,12
2021-12-23,1.33501,1.34377,1.33423,1.34029,51130,12
2021-12-24,1.34032,1.3419,1.33772,1.33821,303721,45
2021-12-27,1.34022,1.34452,1.33912,1.34406,37546,12
2021-12-28,1.34408,1.34614,1.34148,1.34329,36163,11
2021-12-29,1.34329,1.34993,1.34082,1.34964,42377,10
2021-12-30,1.34962,1.35215,1.34538,1.34968,41197,13
2021-12-31,1.34969,1.355,1.34651,1.35177,47676,15
2022-01-03,1.35209,1.35291,1.34304,1.3482,58669,11
2022-01-04,1.3482,1.3557,1.34592,1.35297,70449,13
2022-01-05,1.35296,1.35982,1.35221,1.35543,86211,13
2022-01-06,1.35543,1.35585,1.349,1.35323,82659,11
2022-01-07,1.35323,1.35969,1.3527,1.35827,67994,13
2022-01-10,1.3591,1.36032,1.35317,1.35791,78168,11
2022-01-11,1.35791,1.36362,1.35612,1.36323,59065,11
2022-01-12,1.36321,1.37143,1.36205,1.37055,52392,10
2022-01-13,1.37054,1.37487,1.37004,1.37128,56485,13
2022-01-14,1.37128,1.37424,1.3653,1.36695,70321,11
2022-01-17,1.36725,1.36895,1.36371,1.3647,51946,9
2022-01-18,1.36469,1.36611,1.35725,1.35993,76955,10
2022-01-19,1.35994,1.36486,1.35876,1.36082,66329,11
2022-01-20,1.36089,1.36616,1.35865,1.35964,69735,12
2022-01-21,1.35964,1.36019,1.35452,1.35504,75502,9
2022-01-24,1.35549,1.3565,1.344,1.34882,98796,9
2022-01-25,1.34879,1.35184,1.34358,1.35092,93420,8
2022-01-26,1.35092,1.35245,1.34442,1.34667,104821,12
2022-01-27,1.34666,1.34668,1.33577,1.33872,109825,11
2022-01-28,1.33872,1.34327,1.33649,1.33901,105351,9
2022-01-31,1.34022,1.346,1.33927,1.34441,89090,9
2022-02-01,1.3444,1.35278,1.3434,1.35243,74599,8
2022-02-02,1.35239,1.35874,1.35164,1.35641,72085,10
2022-02-03,1.35641,1.36275,1.35377,1.35974,116668,7
2022-02-04,1.35972,1.36144,1.35046,1.35211,108993,10
2022-02-07,1.35325,1.35504,1.349,1.35366,91255,9
2022-02-08,1.35368,1.35636,1.35073,1.35464,80450,10
2022-02-09,1.35467,1.35891,1.35266,1.35322,55511,9
2022-02-10,1.35323,1.36432,1.3523,1.3549,108992,10
